Team_1,Team_2,Team_1_goals,Team_2_goals,Total_goals,ALFIE_rating,Total_games
Lancing Old Boys,Old Blues,1,1,2,4.0,1
Lancing Old Boys,Old Brentwoods,30,36,66,2.1666666666666665,12
Lancing Old Boys,Old Brentwoods II,0,5,5,2.0,2
Lancing Old Boys,Old Carthusians,10,37,47,2.857142857142857,14
Lancing Old Boys,Old Chigwellians,18,18,36,3.2142857142857144,14
Lancing Old Boys,Old Chigwellians II,13,2,15,1.0,2
Lancing Old Boys,Old Cholmeleians,22,23,45,3.2,15
Lancing Old Boys,Old Cholmeleians II,2,16,18,0.3333333333333333,3
Lancing Old Boys,Old Dorkinians,3,2,5,4.0,1
Lancing Old Boys,Old Etonians,21,19,40,3.3846153846153846,13
Lancing Old Boys,Old Etonians II,5,11,16,3.0,3
Lancing Old Boys,Old Foresters,21,52,73,2.75,20
Lancing Old Boys,Old Hamptonians,2,5,7,2.0,1
Lancing Old Boys,Old Harrovians,44,24,68,2.357142857142857,14
Lancing Old Boys,Old Johnians,3,5,8,3.3333333333333335,3
Lancing Old Boys,Old Kimboltonians,5,11,16,2.0,4
Lancing Old Boys,Old King's Scholars,11,1,12,2.0,2
Lancing Old Boys,Old Kingstonians KGS,5,1,6,3.0,2
Lancing Old Boys,Old Malvernians,23,11,34,3.125,8
Lancing Old Boys,Old Marlburians,29,40,69,2.857142857142857,14
Lancing Old Boys,Old Merchant Taylors,5,3,8,1.0,2
Lancing Old Boys,Old Radleians,12,5,17,3.0,4
Lancing Old Boys,Old Reptonians,17,12,29,2.2857142857142856,7
Lancing Old Boys,Old Rugbeians,6,10,16,3.4,5
Lancing Old Boys,Old Salopians,47,50,97,2.8947368421052633,19
Lancing Old Boys,Old Sedcopians,1,4,5,2.0,1
Lancing Old Boys,Old Sennockians,6,1,7,0.0,1
Lancing Old Boys,Old Tonbridgians,25,26,51,3.0,10
Lancing Old Boys,Old Westminsters,16,32,48,3.25,8
Lancing Old Boys,Old Woodhouseians,0,5,5,0.0,1
Lancing Old Boys,Old Wykehamists,17,12,29,2.3333333333333335,6
Lancing Old Boys,Richmond & Kew SAL,3,4,7,3.0,2
Lancing Old Boys,Sinjun Grammarians,2,3,5,4.0,1
Lancing Old Boys,Worcester College Old Boys,2,4,6,3.0,1
Lancing Old Boys II,KCS Old Boys II,2,4,6,3.0,1
Lancing Old Boys II,Kings College Wimbledon II,8,18,26,2.375,8
Lancing Old Boys II,Lancing College 2nd XI,20,7,27,2.5714285714285716,7
Lancing Old Boys II,Lancing Old Boys,0,0,0,4.0,1
Lancing Old Boys II,Old Albanians SA,0,2,2,2.0,1
Lancing Old Boys II,Old Aldenhamians II,4,4,8,4.0,2
Lancing Old Boys II,Old Alleynians AFC,3,26,29,0.5,4
Lancing Old Boys II,Old Alleynians AFC II,3,1,4,3.0,1
Lancing Old Boys II,Old Alleynians AFC III,2,3,5,4.0,1
Lancing Old Boys II,Old Ardinians,4,13,17,2.3333333333333335,3
Lancing Old Boys II,Old Berkhamstedians,7,3,10,3.0,4
Lancing Old Boys II,Old Blues,1,3,4,3.0,1
Lancing Old Boys II,Old Brentwoods III,0,2,2,2.0,1
Lancing Old Boys II,Old Brentwoods IV,7,5,12,4.0,2
Lancing Old Boys II,Old Carthusians II,11,26,37,3.076923076923077,13
Lancing Old Boys II,Old Carthusians III,25,35,60,2.625,16
Lancing Old Boys II,Old Cheltonians,1,3,4,2.5,2
Lancing Old Boys II,Old Chigwellians II,19,16,35,3.5,12
Lancing Old Boys II,Old Cholmeleians II,11,24,35,3.0,7
Lancing Old Boys II,Old Citizens,2,5,7,3.5,2
Lancing Old Boys II,Old Columbans,1,6,7,2.5,2
Lancing Old Boys II,Old Eastbournians,2,3,5,4.0,2
Lancing Old Boys II,Old Epsomians,5,6,11,4.5,2
Lancing Old Boys II,Old Etonians II,14,17,31,2.8,10
Lancing Old Boys II,Old Foresters II,18,10,28,2.6,10
Lancing Old Boys II,Old Haberdashers,14,7,21,2.8333333333333335,6
Lancing Old Boys II,Old Haileyburians,0,0,0,4.0,1
Lancing Old Boys II,Old Harrovians II,15,11,26,3.6666666666666665,6
Lancing Old Boys II,Old Harrovians III,7,11,18,3.6,5
Lancing Old Boys II,Old Johnians FC,2,8,10,2.6666666666666665,3
Lancing Old Boys II,Old King's Scholars,12,8,20,3.0,5
Lancing Old Boys II,Old Kingstonians,5,15,20,3.0,2
Lancing Old Boys II,Old Marlburians,3,7,10,3.3333333333333335,3
Lancing Old Boys II,Old Merchant Taylors,4,4,8,4.0,2
Lancing Old Boys II,Old Merchant Taylors II,0,7,7,0.0,1
Lancing Old Boys II,Old Millfieldians,9,8,17,4.333333333333333,3
Lancing Old Boys II,Old Oundelians,7,11,18,4.0,3
Lancing Old Boys II,Old Radleians,0,10,10,0.5,2
Lancing Old Boys II,Old Reptonians,1,4,5,3.0,2
Lancing Old Boys II,Old Salopians II,11,7,18,3.1666666666666665,6
Lancing Old Boys II,Old Sennockians,5,1,6,2.6666666666666665,3
Lancing Old Boys II,Old Shirburnians,3,10,13,2.0,2
Lancing Old Boys II,Old Stoics,5,11,16,3.0,4
Lancing Old Boys II,Old Suttonians SV,2,6,8,3.0,2
Lancing Old Boys II,Old Tonbridgians II,7,8,15,0.0,2
Lancing Old Boys II,Old Wellingburians,3,2,5,4.0,1
Lancing Old Boys II,Old Wellingtonians,17,38,55,2.8181818181818183,11
Lancing Old Boys II,Old Westminsters,21,26,47,2.125,8
Lancing Old Boys II,Old Westminsters II,3,9,12,2.0,2
Lancing Old Boys II,Old Wilsonians V,0,1,1,3.0,1
Lancing Old Boys II,Old Wykehamists II,7,2,9,2.0,2
Lancing Old Boys Vets,Old Bradfieldians Vets,8,1,9,1.5,2
Lancing Old Boys Vets,Old Brentwoods Vets,4,5,9,3.6666666666666665,3
Lancing Old Boys Vets,Old Carthusians Vets,5,2,7,3.0,2
Lancing Old Boys Vets,Old Chigwellians Vets,0,0,0,4.0,1
Lancing Old Boys Vets,Old Cholmeleians Vets,4,4,8,5.0,2
Lancing Old Boys Vets,Old Etonians Vets,4,13,17,2.3333333333333335,3
Lancing Old Boys Vets,Old Foresters Vets,5,9,14,3.6666666666666665,3
Lancing Old Boys Vets,Old Harrovians Vets,5,5,10,4.0,2
Lancing Old Boys Vets,Old Malvernians Vets,6,5,11,3.5,2
Lancing Old Boys Vets,Old Reptonians Vets,8,2,10,0.0,1
Lancing Old Boys Vets,Old Salopians Vets,0,6,6,0.0,1
Lancing Old Boys Vets,Old Tonbridgians Vets,14,3,17,1.6666666666666667,3
Lancing Old Boys Vets,Old Wellingtonians Vets,2,2,4,4.0,2
Lancing Old Boys Vets,Old Westminsters Vets,15,13,28,4.0,2
Lancing Old Boys Vets,Old Wykehamists Vets,4,4,8,4.5,2
Latymer Old Boys,Old Aldenhamians II,3,2,5,4.0,1
Latymer Old Boys,Old Etonians,1,4,5,2.0,1
Latymer Old Boys,Old Foresters,1,4,5,2.0,1
Latymer Old Boys,Old Malvernians,8,2,10,0.0,1
Latymer Old Boys,Old Salopians II,4,1,5,2.0,1
Lea Valley,Old Aldenhamians,4,1,5,2.0,1
Lea Valley,Old Etonians,1,5,6,2.0,1
Leyton County Old Boys,Old Bancroftians AFC,1,3,4,3.0,1
Leyton County Old Boys,Old Cholmeleians,1,2,3,4.0,1
Little Heath,Old Bancroftians,2,3,5,4.0,1
Lloyds of London Representative Team,Arthurian League Representative Team,4,14,18,2.75,4
London Lawyers,Old Cholmeleians,2,4,6,3.0,1
London Lions Vets,Old Chigwellians Vets,4,2,6,3.0,1
London Welsh F.C.,Old Aldenhamians,3,0,3,2.0,1
London Welsh F.C.,Old Carthusians III,0,6,6,0.0,1
London Welsh F.C.,Old Chigwellians,3,4,7,4.0,1
London Welsh F.C.,Old Johnians FC,4,5,9,5.0,1
London Welsh F.C.,Old Malvernians,3,1,4,3.0,1
London Welsh F.C.,Old Millfieldians,2,1,3,4.0,1
London Welsh F.C.,Old Wykehamists,1,3,4,3.0,1
Malvern College 1st XI,Old Malvernians,6,10,16,3.6666666666666665,6
Malvern College 2nd XI,Old Malvernians II,3,3,6,3.5,2
Marlborough College 1st XI,Old Marlburians,9,27,36,2.4,5
Mayfield,Old Brentwoods,7,9,16,3.5,2
Mayfield,Old Eastbournians,2,1,3,4.0,1
Merchant Taylors School 1st XI,Old Merchant Taylors,2,0,2,2.0,1
Merchant Taylors School 1st XI,Old Merchant Taylors',5,0,5,0.0,1
Merchant Taylors School 2nd XI,Old Merchant Taylors II,0,5,5,0.0,1
Merton,Old Carthusians,1,4,5,2.0,1
Merton,Old Carthusians II,4,1,5,2.0,1
Merton,Old Carthusians III,2,4,6,3.0,1
Merton,Old Chigwellians,1,3,4,3.0,1
Mickleham Old Boxhillians FC,Old Malvernians,4,4,8,6.0,1
Mill Hill Village,Old Cholmeleians II,2,4,6,3.0,1
Mill Hill Village,Old Columbans,3,4,7,4.0,1
Mill Hill Village,Old Foresters II,0,3,3,2.0,1
Mill Hill Village,Old Reptonians,4,1,5,2.0,1
Millfield School 1st XI,Old Millfieldians,1,6,7,2.5,2
Montpellier Villa FC,KCS Old Boys,1,1,2,4.0,1
NUFC Oilers,Old Carthusians II,6,4,10,4.0,2
NUFC Oilers,Old Foresters,4,1,5,2.0,2
NUFC Oilers,Old Reptonians,2,3,5,4.0,1
NUFC Oilers,Old Salopians,3,0,3,2.5,2
National Westminster Bank,Old Sennockians,0,3,3,2.0,1
New College Old Boys,Old Chigwellians,3,3,6,5.0,1
New College Old Boys,Old Westminsters,4,9,13,2.5,2
New College Old Boys,Old Wykehamists,1,8,9,0.0,1
New Magdalen,Old Cholmeleians,1,0,1,3.0,1
New-Magdalen AFC,Old Aldenhamians,1,0,1,3.0,1
Norsemen,Old Foresters,2,13,15,0.0,2
Northchurch Baptist Church FC,Old Berkhamstedians,2,4,6,3.0,1
Nottsborough FC,Old Aldenhamians,3,2,5,4.0,1
Nottsborough FC,Old Carthusians,12,17,29,3.5714285714285716,7
Nottsborough FC,Old Carthusians III,4,3,7,2.5,2
Nottsborough FC III,Old Carthusians III,1,1,2,4.0,1
Oakhill Tigers,Old Aldenhamians II,7,0,7,0.0,1
Oakhill Tigers,Old Cholmeleians,3,4,7,4.0,1
Oakhill Tigers,Old Cholmeleians III,8,1,9,0.0,1
Old Actonians Association FC,KCS Old Boys,4,3,7,4.0,1
Old Actonians Association FC,Old Carthusians,0,2,2,2.0,1
Old Actonians Association FC,Old Carthusians III,2,7,9,2.5,2
Old Albanians,Kings College Wimbledon II,7,3,10,3.0,2
Old Albanians,Lancing Old Boys,6,6,12,0.0,2
Old Albanians,Old Aldenhamians,5,10,15,2.6666666666666665,3
Old Albanians,Old Alleynians II,1,3,4,3.0,1
Old Albanians,Old Alleynians III,9,14,23,1.75,4
Old Albanians,Old Ardinians,6,12,18,3.5,4
Old Albanians,Old Berkhamstedians,3,5,8,4.0,2
Old Albanians,Old Berkhamstedians II,0,0,0,4.0,1
Old Albanians,Old Brentwoods II,8,2,10,2.0,2
Old Albanians,Old Brentwoods III,3,2,5,4.0,1
Old Albanians,Old Carthusians II,15,8,23,3.5,4
Old Albanians,Old Chigwellians II,15,6,21,3.0,3
Old Albanians,Old Cholmeleians II,3,10,13,2.0,2
Old Albanians,Old Epsomians,9,6,15,3.6666666666666665,3
Old Albanians,Old Etonians II,6,8,14,4.5,2
Old Albanians,Old Harrovians II,3,2,5,4.0,1
Old Albanians,Old Kimboltonians,5,11,16,3.0,2
Old Albanians,Old Merchant Taylors,8,6,14,2.0,2
Old Albanians,Old Sennockians,0,4,4,1.0,1
Old Albanians,Old Shirburnians,4,5,9,3.0,2
Old Albanians,Old Tonbridgians II,9,3,12,2.5,2
Old Albanians SA,Kings College Wimbledon II,2,4,6,3.0,1
Old Albanians SA,Lancing Old Boys II,2,0,2,2.0,1
Old Albanians SA,Old Aldenhamians,4,4,8,5.0,2
Old Albanians SA,Old Alleynians AFC II,6,1,7,0.0,1
Old Albanians SA,Old Ardinians,2,7,9,0.0,1
Old Albanians SA,Old Bancroftians,4,3,7,2.5,2
Old Albanians SA,Old Brentwoods II,4,2,6,3.5,2
Old Albanians SA,Old Brentwoods III,23,17,40,2.4285714285714284,7
Old Albanians SA,Old Brentwoods IV,19,0,19,1.0,1
Old Albanians SA,Old Chigwellians III,13,7,20,3.6,5
Old Albanians SA,Old Cholmeleians II,23,17,40,3.875,8
Old Albanians SA,Old Columbans,5,16,21,2.3333333333333335,3
Old Albanians SA,Old Epsomians,2,5,7,2.0,1
Old Albanians SA,Old Epsomians II,2,6,8,2.0,1
Old Albanians SA,Old Foresters III,6,5,11,3.0,3
Old Albanians SA,Old Haberdashers,12,6,18,3.0,4
Old Albanians SA,Old Harrovians III,14,6,20,2.6666666666666665,3
Old Albanians SA,Old Johnians,4,4,8,6.0,1
Old Albanians SA,Old Johnians FC,5,5,10,6.0,1
Old Albanians SA,Old Kimboltonians,6,14,20,2.0,3
Old Albanians SA,Old King's Scholars,7,2,9,3.0,3
Old Albanians SA,Old Kingstonians,3,0,3,2.0,1
Old Albanians SA,Old Merchant Taylors II,12,8,20,3.75,4
Old Albanians SA,Old Merchant Taylors' II,10,0,10,0.5,2
Old Albanians SA,Old Rugbeians,2,3,5,4.0,1
Old Albanians SA,Old Shirburnians,6,6,12,3.6666666666666665,3
Old Albanians SA,Old Stoics,11,4,15,2.5,4
Old Albanians SA,Old Wellingtonians,15,6,21,2.6666666666666665,3
Old Albanians SA,Old Westminsters II,4,4,8,5.0,2
Old Albanians SA,Old Wykehamists II,1,6,7,0.0,1
Old Albanians SA,St Albans School 1st XI,4,3,7,4.0,1
Old Aldenhamians,Albanian FC,0,1,1,3.0,1
Old Aldenhamians,Aldenham School 1st XI,6,14,20,2.5,4
Old Aldenhamians,Egbertian FC,7,4,11,3.0,1
Old Aldenhamians,Globe Rangers,5,5,10,3.0,2
Old Aldenhamians,Hampstead Heathens,2,1,3,4.0,1
Old Aldenhamians,Heathrow Seniors,2,3,5,4.0,1
Old Aldenhamians,KCS Old Boys,1,16,17,1.3333333333333333,3
Old Aldenhamians,Kings College Wimbledon II,2,6,8,2.0,1
Old Aldenhamians,Lancing Old Boys,11,24,35,2.4285714285714284,7
Old Aldenhamians,Lea Valley,1,4,5,2.0,1
Old Aldenhamians,London Welsh F.C.,0,3,3,2.0,1
Old Aldenhamians,New-Magdalen AFC,0,1,1,3.0,1
Old Aldenhamians,Nottsborough FC,2,3,5,4.0,1
Old Aldenhamians,Old Albanians,10,5,15,2.6666666666666665,3
Old Aldenhamians,Old Albanians SA,4,4,8,5.0,2
Old Aldenhamians,Old Alleynians AFC,1,8,9,1.5,2
Old Aldenhamians,Old Alleynians II,16,31,47,3.111111111111111,9
Old Aldenhamians,Old Ardinians,4,10,14,2.5,2
Old Aldenhamians,Old Berkhamstedians,21,41,62,2.4,10
Old Aldenhamians,Old Bradfieldians,23,36,59,2.6666666666666665,12
Old Aldenhamians,Old Brentwoods,4,31,35,0.5,4
Old Aldenhamians,Old Brentwoods II,2,2,4,5.0,1
Old Aldenhamians,Old Carthusians II,11,10,21,2.8,5
Old Aldenhamians,Old Chigwellians,3,13,16,2.2,5
Old Aldenhamians,Old Chigwellians II,18,15,33,3.2222222222222223,9
Old Aldenhamians,Old Cholmeleians,7,29,36,2.4285714285714284,7
Old Aldenhamians,Old Cholmeleians II,9,11,20,3.2,5
Old Aldenhamians,Old Columbans,4,4,8,6.0,1
Old Aldenhamians,Old Edmontonians,4,2,6,3.0,1
Old Aldenhamians,Old Epsomians,1,2,3,4.0,1
Old Aldenhamians,Old Etonians II,11,36,47,2.6363636363636362,11
Old Aldenhamians,Old Foresters,1,9,10,1.5,2
Old Aldenhamians,Old Foresters II,5,5,10,5.0,2
Old Aldenhamians,Old Haileyburians,33,14,47,2.5555555555555554,9
Old Aldenhamians,Old Hamptonians,2,1,3,4.0,1
Old Aldenhamians,Old Harrovians,5,22,27,1.8333333333333333,6
Old Aldenhamians,Old Harrovians II,15,17,32,3.857142857142857,7
Old Aldenhamians,Old Johnians,2,12,14,2.25,4
Old Aldenhamians,Old Kimboltonians,17,28,45,3.375,8
Old Aldenhamians,Old King's Scholars,18,3,21,2.0,5
Old Aldenhamians,Old Kingstonians,5,1,6,2.0,1
Old Aldenhamians,Old Magdalenians,4,1,5,2.0,1
Old Aldenhamians,Old Malvernians,30,38,68,3.0,15
Old Aldenhamians,Old Marlburians,8,14,22,3.25,4
Old Aldenhamians,Old Merchant Taylors,15,15,30,2.1666666666666665,6
Old Aldenhamians,Old Merchant Taylors',6,3,9,2.5,2
Old Aldenhamians,Old Millfieldians,8,10,18,1.0,3
Old Aldenhamians,Old Millhillians,4,3,7,4.0,1
Old Aldenhamians,Old Owens,1,4,5,2.0,1
Old Aldenhamians,Old Pegasonians F.C.,6,3,9,3.5,2
Old Aldenhamians,Old Radleians,36,37,73,2.5,16
Old Aldenhamians,Old Reptonians,23,52,75,1.9285714285714286,14
Old Aldenhamians,Old Rugbeians,7,12,19,2.3333333333333335,3
Old Aldenhamians,Old Salopians,2,9,11,1.5,2
Old Aldenhamians,Old Sedcopians,2,1,3,4.0,1
Old Aldenhamians,Old Sennockians,20,17,37,3.0,7
Old Aldenhamians,Old St Marys,2,0,2,2.0,1
Old Aldenhamians,Old Strand Academicals,9,8,17,3.6666666666666665,3
Old Aldenhamians,Old Tonbridgians,6,13,19,1.75,4
Old Aldenhamians,Old Tonbridgians II,9,2,11,2.0,2
Old Aldenhamians,Old Wellingtonians,14,10,24,3.0,6
Old Aldenhamians,Old Westminsters,8,23,31,2.5714285714285716,7
Old Aldenhamians,Old Wykehamists,22,24,46,3.0,10
Old Aldenhamians,Queen Mary College Old Boys,2,5,7,2.0,1
Old Aldenhamians,Reigatians II,2,3,5,4.0,1
Old Aldenhamians,Southgate County,7,0,7,1.0,2
Old Aldenhamians,University of Hertfordshire,7,1,8,0.0,1
Old Aldenhamians,Wandsworth Borough,0,4,4,1.0,1
Old Aldenhamians,Winchmore Hill,0,3,3,2.0,1
Old Aldenhamians,Worcester College Old Boys,0,2,2,2.0,1
Old Aldenhamians II,Albanian FC,5,2,7,2.0,1
Old Aldenhamians II,Aldenham School 2nd XI,1,11,12,1.5,2
Old Aldenhamians II,Alleyn Old Boys,2,6,8,2.0,1
Old Aldenhamians II,Bealonians,2,6,8,2.0,1
Old Aldenhamians II,Enfield Old Grammarians,0,7,7,0.0,1
Old Aldenhamians II,Kings College Wimbledon II,14,8,22,3.2,5
Old Aldenhamians II,Lancing Old Boys II,4,4,8,4.0,2
Old Aldenhamians II,Latymer Old Boys,2,3,5,4.0,1
Old Aldenhamians II,Oakhill Tigers,0,7,7,0.0,1
Old Aldenhamians II,Old Alleynians AFC,6,8,14,3.5,4
Old Aldenhamians II,Old Berkhamstedians,0,6,6,1.5,2
Old Aldenhamians II,Old Brentwoods II,5,6,11,3.3333333333333335,3
Old Aldenhamians II,Old Carthusians II,3,11,14,2.5,2
Old Aldenhamians II,Old Carthusians III,4,10,14,3.25,4
Old Aldenhamians II,Old Challoners,2,0,2,2.0,1
Old Aldenhamians II,Old Chigwellians II,7,13,20,2.6666666666666665,6
Old Aldenhamians II,Old Chigwellians III,1,5,6,1.5,2
Old Aldenhamians II,Old Cholmeleians II,6,11,17,2.6666666666666665,3
Old Aldenhamians II,Old Cholmeleians III,3,0,3,2.5,2
Old Aldenhamians II,Old Citizens,8,14,22,3.6,5
Old Aldenhamians II,Old Crosbeians,3,0,3,2.0,1
Old Aldenhamians II,Old Eastbournians,10,11,21,3.75,4
Old Aldenhamians II,Old Epsomians,20,24,44,3.375,8
Old Aldenhamians II,Old Etonians II,4,4,8,4.0,2
Old Aldenhamians II,Old Foresters II,6,3,9,3.6666666666666665,3
Old Aldenhamians II,Old Haberdashers,9,12,21,3.5,4
Old Aldenhamians II,Old Harrovians II,12,13,25,1.6666666666666667,6
Old Aldenhamians II,Old Johnians FC,0,9,9,0.0,1
Old Aldenhamians II,Old Malvernians II,2,1,3,4.0,1
Old Aldenhamians II,Old Manorians,3,2,5,4.0,1
Old Aldenhamians II,Old Marlburians,8,20,28,2.5,4
Old Aldenhamians II,Old Merchant Taylors,3,11,14,2.0,3
Old Aldenhamians II,Old Millfieldians,1,15,16,1.5,2
Old Aldenhamians II,Old Millhillians,6,2,8,2.5,2
Old Aldenhamians II,Old Minchendenians,1,6,7,0.0,1
Old Aldenhamians II,Old Parmiterians,8,9,17,2.5,2
Old Aldenhamians II,Old Rugbeians,2,7,9,2.5,2
Old Aldenhamians II,Old Salopians II,12,21,33,2.888888888888889,9
Old Aldenhamians II,Old Sennockians,6,8,14,3.25,4
Old Aldenhamians II,Old Stoics,4,4,8,4.333333333333333,3
Old Aldenhamians II,Old Thorntonians,0,5,5,0.0,1
Old Aldenhamians II,Old Tiffinians,7,3,10,2.0,1
Old Aldenhamians II,Old Tonbridgians II,5,22,27,1.5,4
Old Aldenhamians II,Old Vaughanians,3,0,3,2.0,1
Old Aldenhamians II,Old Wellingburians,4,4,8,6.0,1
Old Aldenhamians II,Old Wellingtonians,10,19,29,2.0,4
Old Aldenhamians II,Old Wykehamists II,12,11,23,3.25,4
Old Aldenhamians II,Southgate Olympic,1,2,3,4.0,1
Old Aldenhamians II,Wake Green Amateur,1,5,6,2.0,1
Old Aldenhamians Vets,Old Berkhamstedians Vets,2,4,6,3.0,1
Old Aldenhamians Vets,Old Bradfieldians Vets,1,8,9,0.0,1
Old Aldenhamians Vets,Old Brentwoods Vets,0,6,6,0.0,1
Old Aldenhamians Vets,Old Etonians Vets,0,5,5,0.0,1
Old Aldenhamians Vets,Old Foresters Vets,12,15,27,0.6666666666666666,3
Old Aldenhamians Vets,Old Salopians Vets,4,7,11,3.5,2
Old Aldenhamians Vets,Old Wellingtonians Vets,4,6,10,4.0,2
Old Alleynians,Dulwich College 1st XI,5,1,6,2.0,1
Old Alleynians,Fulham Compton Old Boys,3,2,5,4.0,1
Old Alleynians,KCS Old Boys,36,20,56,2.6,10
Old Alleynians,Old Berkhamstedians,5,2,7,2.0,1
Old Alleynians,Old Bradfieldians,36,25,61,3.111111111111111,9
Old Alleynians,Old Brentwoods,23,16,39,2.888888888888889,9
Old Alleynians,Old Carthusians,23,10,33,2.5714285714285716,7
Old Alleynians,Old Chigwellians,9,8,17,4.0,3
Old Alleynians,Old Cholmeleians,22,5,27,1.8,5
Old Alleynians,Old Columbans,4,1,5,2.0,1
Old Alleynians,Old Etonians,22,19,41,3.3,10
Old Alleynians,Old Foresters,18,18,36,2.857142857142857,7
Old Alleynians,Old Hamptonians,1,7,8,2.0,2
Old Alleynians,Old Harrovians,24,5,29,2.0,4
Old Alleynians,Old Johnians,7,0,7,0.0,1
Old Alleynians,Old Kimboltonians,0,3,3,2.0,1
Old Alleynians,Old Meadonians,3,2,5,4.0,1
Old Alleynians,Old Reptonians,21,19,40,3.375,8
Old Alleynians,Old Rugbeians,8,1,9,0.0,1
Old Alleynians,Old Suttonians,3,4,7,4.0,1
Old Alleynians,Old Tonbridgians,33,14,47,2.5555555555555554,9
Old Alleynians,Old Wykehamists,24,11,35,2.5,6
Old Alleynians,Reigatians,5,1,6,2.0,1
Old Alleynians,South Bank Cuaco,2,2,4,5.0,1
Old Alleynians,Yorxeter FC,2,1,3,4.0,1
Old Alleynians AFC,Alexandra Park FC,7,0,7,0.0,1
Old Alleynians AFC,Beder FC,10,10,20,7.0,1
Old Alleynians AFC,Clissold Park Rangers,2,2,4,5.0,1
Old Alleynians AFC,Dulwich College 1st XI,17,10,27,3.4,5
Old Alleynians AFC,KCS Old Boys,2,9,11,1.5,2
Old Alleynians AFC,Kings College Wimbledon II,12,4,16,2.6666666666666665,3
Old Alleynians AFC,Kings College Wimbledon III,6,7,13,3.0,2
Old Alleynians AFC,LM United,5,0,5,0.0,1
Old Alleynians AFC,Lancing Old Boys,9,4,13,3.0,3
Old Alleynians AFC,Lancing Old Boys II,26,3,29,0.5,4
Old Alleynians AFC,Old Aldenhamians,8,1,9,1.5,2
Old Alleynians AFC,Old Aldenhamians II,8,6,14,3.5,4
Old Alleynians AFC,Old Amplefordians,5,4,9,5.0,1
Old Alleynians AFC,Old Bancroftians AFC,4,1,5,2.0,1
Old Alleynians AFC,Old Berkhamstedians,5,3,8,3.0,2
Old Alleynians AFC,Old Bradfieldians,6,3,9,3.5,2
Old Alleynians AFC,Old Brentwoods,0,4,4,1.0,1
Old Alleynians AFC,Old Brentwoods II,4,2,6,3.0,1
Old Alleynians AFC,Old Brentwoods IV,4,1,5,2.0,1
Old Alleynians AFC,Old Carthusians,4,13,17,2.5,4
Old Alleynians AFC,Old Carthusians II,3,2,5,4.0,2
Old Alleynians AFC,Old Carthusians III,9,3,12,2.3333333333333335,3
Old Alleynians AFC,Old Chigwellians,15,7,22,2.6666666666666665,3
Old Alleynians AFC,Old Chigwellians II,4,4,8,2.5,2
Old Alleynians AFC,Old Chigwellians III,3,1,4,3.0,2
Old Alleynians AFC,Old Cholmeleians,6,4,10,3.0,2
Old Alleynians AFC,Old Cholmeleians III,17,2,19,0.0,2
Old Alleynians AFC,Old Citizens,10,6,16,1.6666666666666667,3
Old Alleynians AFC,Old Eastbournians,7,4,11,4.0,2
Old Alleynians AFC,Old Epsomians,7,3,10,3.0,2
Old Alleynians AFC,Old Etonians,6,4,10,4.0,3
Old Alleynians AFC,Old Etonians II,7,1,8,2.0,2
Old Alleynians AFC,Old Foresters,3,5,8,3.5,2
Old Alleynians AFC,Old Foresters II,6,4,10,4.0,3
Old Alleynians AFC,Old Foresters III,17,2,19,1.3333333333333333,3
Old Alleynians AFC,Old Hamptonians,1,2,3,4.0,1
Old Alleynians AFC,Old Harrovians,26,15,41,3.2857142857142856,7
Old Alleynians AFC,Old Harrovians II,16,12,28,3.1666666666666665,6
Old Alleynians AFC,Old Kimboltonians,5,4,9,4.5,2
Old Alleynians AFC,Old Malvernians,15,7,22,3.2,5
Old Alleynians AFC,Old Marlburians,13,6,19,3.25,4
Old Alleynians AFC,Old Merchant Taylors,9,5,14,3.0,3
