Team_1,Team_2,Team_1_goals,Team_2_goals,Total_goals,ALFIE_rating,Total_games
Kings College Wimbledon II,Old Chigwellians II,8,5,13,3.4,5
Kings College Wimbledon II,Old Cholmeleians II,12,6,18,3.3333333333333335,3
Kings College Wimbledon II,Old Cholmeleians III,6,6,12,3.5,2
Kings College Wimbledon II,Old Citizens,6,19,25,2.0,6
Kings College Wimbledon II,Old Columbans,6,11,17,3.0,2
Kings College Wimbledon II,Old Dorkinians,2,0,2,2.0,1
Kings College Wimbledon II,Old Eastbournians,3,2,5,4.0,2
Kings College Wimbledon II,Old Epsomians,25,28,53,3.4615384615384617,13
Kings College Wimbledon II,Old Etonians II,21,22,43,2.5454545454545454,11
Kings College Wimbledon II,Old Foresters II,25,34,59,3.1818181818181817,11
Kings College Wimbledon II,Old Haberdashers,11,3,14,1.5,2
Kings College Wimbledon II,Old Haileyburians,4,3,7,4.0,1
Kings College Wimbledon II,Old Harrovians II,25,27,52,3.6923076923076925,13
Kings College Wimbledon II,Old Johnians,2,6,8,3.3333333333333335,3
Kings College Wimbledon II,Old Johnians FC,1,3,4,3.5,2
Kings College Wimbledon II,Old Kimboltonians,7,11,18,2.75,4
Kings College Wimbledon II,Old Lyonians,9,3,12,0.0,1
Kings College Wimbledon II,Old Malvernians II,6,8,14,2.3333333333333335,3
Kings College Wimbledon II,Old Marlburians,8,6,14,1.0,2
Kings College Wimbledon II,Old Meadonians,1,6,7,0.0,1
Kings College Wimbledon II,Old Merchant Taylors,10,9,19,2.6,5
Kings College Wimbledon II,Old Millfieldians,2,9,11,2.6666666666666665,3
Kings College Wimbledon II,Old Minchendenians,7,9,16,4.5,2
Kings College Wimbledon II,Old Parkonians,1,3,4,3.0,1
Kings College Wimbledon II,Old Pauline,3,0,3,2.0,1
Kings College Wimbledon II,Old Radleians,2,3,5,4.0,2
Kings College Wimbledon II,Old Salesians,1,2,3,4.0,1
Kings College Wimbledon II,Old Salopians II,9,12,21,3.25,4
Kings College Wimbledon II,Old Sennockians,4,5,9,3.0,4
Kings College Wimbledon II,Old Shirburnians,4,6,10,3.3333333333333335,3
Kings College Wimbledon II,Old Stoics,2,1,3,4.0,1
Kings College Wimbledon II,Old Suttonians SV,8,6,14,3.5,4
Kings College Wimbledon II,Old Tenisonians II,0,7,7,0.0,1
Kings College Wimbledon II,Old Thorntonians IV,5,1,6,2.0,1
Kings College Wimbledon II,Old Tonbridgians II,9,13,22,2.4285714285714284,7
Kings College Wimbledon II,Old Wellingtonians,1,1,2,3.0,2
Kings College Wimbledon II,Old Westminsters,15,19,34,2.857142857142857,7
Kings College Wimbledon II,Old Wykehamists II,16,6,22,2.75,4
Kings College Wimbledon II,Rapid Chingford,1,5,6,2.0,1
Kings College Wimbledon II,Worcester College Old Boys,3,1,4,3.0,1
Kings College Wimbledon III,KCS Old Boys,0,0,0,4.0,1
Kings College Wimbledon III,Kings College Wimbledon II,0,0,0,4.0,1
Kings College Wimbledon III,Old Alleynians AFC,7,6,13,3.0,2
Kings College Wimbledon III,Old Alleynians AFC II,2,5,7,3.5,2
Kings College Wimbledon III,Old Amplefordians,10,10,20,3.8,5
Kings College Wimbledon III,Old Bancroftians AFC,7,2,9,2.5,2
Kings College Wimbledon III,Old Columbans,1,3,4,3.0,1
Kings College Wimbledon III,Old Epsomians II,2,0,2,3.0,2
Kings College Wimbledon III,Old Foresters III,2,4,6,3.5,2
Kings College Wimbledon III,Old Harrovians III,8,12,20,2.0,4
Kings College Wimbledon III,Old Johnians FC,1,7,8,1.5,2
Kings College Wimbledon III,Old King's Scholars,4,7,11,3.5,2
Kings College Wimbledon III,Old Malvernians II,7,4,11,3.5,2
Kings College Wimbledon III,Old Millhillians,3,3,6,5.0,1
Kings College Wimbledon III,Old Rugbeians,6,7,13,3.0,3
Kings College Wimbledon III,Old Shirburnians,2,11,13,1.0,2
Kings College Wimbledon III,Old Stoics,1,2,3,4.0,1
Kings College Wimbledon III,Old Westminsters II,6,9,15,3.0,4
Kings College Wimbledon III,Old Wykehamists II,7,10,17,3.3333333333333335,3
Kings Old Boys,Old Brentwoods II,2,0,2,2.0,1
Kings Old Boys,Old Rugbeians,0,1,1,3.0,1
Kingston Grammar School 1st XI,Old Kingstonians,4,6,10,4.0,2
Kingston Grammar School 1st XI,Old Kingstonians KGS,6,6,12,3.5,2
LM United,Old Alleynians AFC,0,5,5,0.0,1
Lancing College 1st XI,Lancing Old Boys,15,42,57,2.1,10
Lancing College 2nd XI,Lancing Old Boys II,7,20,27,2.5714285714285716,7
Lancing Old Boys,Alleyn Old Boys,0,4,4,1.0,1
Lancing Old Boys,Bealonians,6,0,6,0.0,1
Lancing Old Boys,Corinthian-Casuals,8,6,14,3.75,4
Lancing Old Boys,Economicals,1,2,3,4.0,1
Lancing Old Boys,KCS Old Boys,17,18,35,3.1,10
Lancing Old Boys,Lancing College 1st XI,42,15,57,2.1,10
Lancing Old Boys,Lancing Old Boys II,0,0,0,4.0,1
Lancing Old Boys,Old Albanians,6,6,12,0.0,2
Lancing Old Boys,Old Aldenhamians,24,11,35,2.4285714285714284,7
Lancing Old Boys,Old Alleynians AFC,4,9,13,3.0,3
Lancing Old Boys,Old Alleynians II,7,21,28,1.75,4
Lancing Old Boys,Old Amplefordians,12,1,13,1.0,1
Lancing Old Boys,Old Ardinians,2,10,12,2.5,2
Lancing Old Boys,Old Berkhamstedians,31,34,65,3.3076923076923075,13
